tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2025-9900,United Cup,Hard,18.0,A,20241229,1.0,105807,,,Pablo Carreno Busta,R,188.0,ESP,33.467,207686,,,Alexander Shevchenko,R,188.0,KAZ,24.082,6-2 6-1,3,RR,64.0,3.0,0.0,40.0,27.0,21.0,9.0,8.0,1.0,2.0,3.0,4.0,42.0,24.0,14.0,4.0,7.0,2.0,7.0,196.0,292.0,78.0,715.0
2025-9900,United Cup,Hard,18.0,A,20241229,2.0,111190,,,Zhizhen Zhang,R,193.0,CHN,28.203,106329,,,Thiago Monteiro,L,183.0,BRA,30.582,6-3 6-0,3,RR,54.0,10.0,0.0,39.0,30.0,26.0,7.0,8.0,0.0,0.0,3.0,2.0,35.0,22.0,13.0,3.0,7.0,1.0,5.0,45.0,1155.0,109.0,566.0
2025-9900,United Cup,Hard,18.0,A,20241229,3.0,126774,,,Stefanos Tsitsipas,R,193.0,GRE,26.382,105807,,,Pablo Carreno Busta,R,188.0,ESP,33.467,6-4 4-6 6-3,3,RR,128.0,13.0,6.0,84.0,49.0,40.0,19.0,15.0,1.0,3.0,2.0,3.0,92.0,70.0,48.0,9.0,14.0,6.0,9.0,11.0,3165.0,196.0,292.0
2025-9900,United Cup,Hard,18.0,A,20241229,4.0,106432,,,Borna Coric,R,188.0,CRO,28.123,200000,,,Felix Auger-Aliassime,R,193.0,CAN,24.392,0-6 6-4 6-4,3,RR,139.0,1.0,6.0,81.0,40.0,26.0,17.0,13.0,5.0,10.0,13.0,3.0,90.0,67.0,43.0,11.0,13.0,8.0,12.0,90.0,639.0,29.0,1635.0
2025-9900,United Cup,Hard,18.0,A,20241229,5.0,200005,,,Ugo Humbert,L,188.0,FRA,26.511,208502,,,Dominic Stricker,L,183.0,SUI,22.371,6-3 7-5,3,RR,72.0,10.0,2.0,51.0,34.0,30.0,10.0,11.0,0.0,1.0,10.0,1.0,56.0,34.0,27.0,10.0,10.0,1.0,4.0,14.0,2765.0,299.0,173.0
2025-9900,United Cup,Hard,18.0,A,20241229,6.0,200282,,,Alex de Minaur,R,183.0,AUS,25.864,144869,,,Tomas Martin Etcheverry,R,196.0,ARG,25.451,6-1 6-4,3,RR,76.0,8.0,2.0,51.0,26.0,23.0,15.0,9.0,0.0,0.0,2.0,1.0,47.0,28.0,20.0,7.0,8.0,3.0,6.0,9.0,3745.0,39.0,1315.0
2025-9900,United Cup,Hard,18.0,A,20241229,7.0,200000,,,Felix Auger-Aliassime,R,193.0,CAN,24.392,126203,,,Taylor Fritz,R,196.0,USA,27.17,4-6 7-5 6-3,3,RR,139.0,19.0,4.0,89.0,59.0,47.0,15.0,16.0,2.0,4.0,13.0,1.0,92.0,58.0,42.0,16.0,15.0,1.0,4.0,29.0,1635.0,4.0,5100.0
2025-9900,United Cup,Hard,18.0,A,20241229,8.0,207925,,,Flavio Cobolli,R,183.0,ITA,22.65,208502,,,Dominic Stricker,L,183.0,SUI,22.371,6-3 7-6(2),3,RR,89.0,5.0,3.0,67.0,36.0,27.0,22.0,10.0,5.0,5.0,6.0,0.0,62.0,45.0,33.0,7.0,11.0,0.0,2.0,32.0,1472.0,299.0,173.0
2025-9900,United Cup,Hard,18.0,A,20241229,9.0,134770,,,Casper Ruud,R,183.0,NOR,26.021,207830,,,Tomas Machac,R,183.0,CZE,24.211,7-6(6) 5-7 6-4,3,RR,174.0,12.0,6.0,116.0,75.0,56.0,19.0,17.0,6.0,9.0,7.0,13.0,111.0,70.0,50.0,17.0,17.0,2.0,5.0,6.0,4255.0,25.0,1758.0
2025-9900,United Cup,Hard,18.0,A,20241229,10.0,100644,,,Alexander Zverev,R,198.0,GER,27.693,106329,,,Thiago Monteiro,L,183.0,BRA,30.582,6-4 6-4,3,RR,77.0,11.0,3.0,51.0,32.0,29.0,11.0,10.0,0.0,0.0,5.0,1.0,53.0,32.0,24.0,11.0,10.0,2.0,4.0,2.0,7915.0,109.0,566.0
