tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2025-800,Brisbane,Hard,64,P,20250101,1,214544,1,,Aryna Sabalenka,R,182,BLR,,221236,,Q,Polina Kudermetova,R,,RUS,,4-6 6-3 6-2,3,F,,,,,,,,,,,,,,,,,,,,,,,
2025-800,Brisbane,Hard,64,P,20250101,2,221236,,Q,Polina Kudermetova,R,,RUS,,211843,,,Anhelina Kalinina,R,179,UKR,,6-4 6-3,3,SF,,,,,,,,,,,,,,,,,,,,,,,
2025-800,Brisbane,Hard,64,P,20250101,3,214544,1,,Aryna Sabalenka,R,182,BLR,,259799,8,,Mirra Andreeva,R,,RUS,,6-3 6-2,3,SF,,,,,,,,,,,,,,,,,,,,,,,
2025-800,Brisbane,Hard,64,P,20250101,4,211843,,,Anhelina Kalinina,R,179,UKR,,214040,,WC,Kimberly Birrell,R,170,AUS,,4-6 6-1 7-5,3,QF,,,,,,,,,,,,,,,,,,,,,,,
2025-800,Brisbane,Hard,64,P,20250101,5,221236,,Q,Polina Kudermetova,R,,RUS,,221909,,,Ashlyn Krueger,R,185,USA,,7-6(5) 6-3,3,QF,,,,,,,,,,,,,,,,,,,,,,,
2025-800,Brisbane,Hard,64,P,20250101,6,259799,8,,Mirra Andreeva,R,,RUS,,202460,,,Ons Jabeur,R,167,TUN,,6-4 7-6(2),3,QF,,,,,,,,,,,,,,,,,,,,,,,
2025-800,Brisbane,Hard,64,P,20250101,7,214544,1,,Aryna Sabalenka,R,182,BLR,,213631,,,Marie Bouzkova,R,180,CZE,,6-3 6-4,3,QF,,,,,,,,,,,,,,,,,,,,,,,
2025-800,Brisbane,Hard,64,P,20250101,8,214040,,WC,Kimberly Birrell,R,170,AUS,,215713,,,Anastasia Potapova,R,175,RUS,,7-6(2) 6-2,3,R16,,,,,,,,,,,,,,,,,,,,,,,
2025-800,Brisbane,Hard,64,P,20250101,9,211843,,,Anhelina Kalinina,R,179,UKR,,206294,,,Yue Yuan,R,184,CHN,,6-1 6-4,3,R16,,,,,,,,,,,,,,,,,,,,,,,
2025-800,Brisbane,Hard,64,P,20250101,10,221236,,Q,Polina Kudermetova,R,,RUS,,214082,3,,Daria Kasatkina,R,170,RUS,,1-6 6-2 7-5,3,R16,,,,,,,,,,,,,,,,,,,,,,,
2025-800,Brisbane,Hard,64,P,20250101,11,221909,,,Ashlyn Krueger,R,185,USA,,215480,,,Suzan Lamens,R,,NED,,7-5 6-0,3,R16,,,,,,,,,,,,,,,,,,,,,,,
2025-800,Brisbane,Hard,64,P,20250101,12,259799,8,,Mirra Andreeva,R,,RUS,,222328,12,,Linda Noskova,R,,CZE,,6-3 6-0,3,R16,,,,,,,,,,,,,,,,,,,,,,,
2025-800,Brisbane,Hard,64,P,20250101,13,202460,,,Ons Jabeur,R,167,TUN,,220589,,,Elina Avanesyan,R,,ARM,,6-4 1-6 6-4,3,R16,,,,,,,,,,,,,,,,,,,,,,,
2025-800,Brisbane,Hard,64,P,20250101,14,213631,,,Marie Bouzkova,R,180,CZE,,201458,10,,Victoria Azarenka,R,180,BLR,,6-4 6-4,3,R16,,,,,,,,,,,,,,,,,,,,,,,
2025-800,Brisbane,Hard,64,P,20250101,15,214544,1,,Aryna Sabalenka,R,182,BLR,,201709,15,,Yulia Putintseva,R,163,KAZ,,7-6(2) 6-4,3,R16,,,,,,,,,,,,,,,,,,,,,,,
2025-800,Brisbane,Hard,64,P,20250101,16,214040,,WC,Kimberly Birrell,R,170,AUS,,215613,2,,Emma Navarro,R,,USA,,7-5 7-5,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2025-800,Brisbane,Hard,64,P,20250101,17,215713,,,Anastasia Potapova,R,175,RUS,,215035,16,,Dayana Yastremska,R,175,UKR,,7-5 6-4,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2025-800,Brisbane,Hard,64,P,20250101,18,206294,,,Yue Yuan,R,184,CHN,,216146,9,,Marta Kostyuk,R,175,UKR,,6-4 6-3,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2025-800,Brisbane,Hard,64,P,20250101,19,211843,,,Anhelina Kalinina,R,179,UKR,,223670,5,,Diana Shnaider,L,,RUS,,6-3 4-6 6-1,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2025-800,Brisbane,Hard,64,P,20250101,20,214082,3,,Daria Kasatkina,R,170,RUS,,220548,,,Peyton Stearns,R,,USA,,7-6(7) 4-6 7-5,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2025-800,Brisbane,Hard,64,P,20250101,21,221236,,Q,Polina Kudermetova,R,,RUS,,214643,13,,Liudmila Samsonova,R,180,RUS,,6-7(7) 6-3 6-2,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2025-800,Brisbane,Hard,64,P,20250101,22,215480,,,Suzan Lamens,R,,NED,,211684,11,,Magdalena Frech,R,171,POL,,7-5 6-3,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2025-800,Brisbane,Hard,64,P,20250101,23,221909,,,Ashlyn Krueger,R,185,USA,,214939,6,,Anna Kalinskaya,R,175,RUS,,6-3 6-3,3,R32,,,,,,,,,,,,,,,,,,,,,,,
